account_id,station_name,basetemp,nac_pre,nac_post,savings,site_number,station,base_post,nacc,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,ltcdd_post,sebs_post,secpdd_post,trefc_post,cpdd_post,senac_post,senacc_post,base_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,ltcdd_pre,sebs_pre,secpdd_pre,trefc_pre,cpdd_pre,senac_pre,senacc_pre,iou_id,retrofit_start_date,retrofit_end_date,zipcode,ca_climate_zone,station_id,station_number,isvalid
"9069281964","SAN-DIEGO-MONTGOMER",58,4523,4092,431.146,"19b","SAN-DIEGO-MONTGOMER",3154,938,0.075,0.584,14,06aug2012,05sep2013,1693,458,.1348079,58,.5537611,307,228,3336,0.033,0.647,39,05feb2009,05apr2012,1693,214,.0850887,58,.701062,148,144,"9069281964","4/10/12","7/30/12",92115,7,"SAN-DIEGO-MONTGOMER_722903",722903,1
"E3RCZ8","LIVERMORE",58,4873,5150,-277.0552,"2","LIVERMORE",5540,-390,0.020,0.462,20,13sep2011,11apr2013,1613,136,.0614963,58,-.2416173,101,99,4977,0.028,0.031,17,12feb2010,14jun2011,1613,158,.0931652,58,-.0643052,137,150,"E3RCZ8","6/15/11","9/10/11",94526,12,"LIVERMORE_724927",724927,1
"9608731398","SAN-DIEGO-MONTGOMER",58,8970,8853,117.418,"20","SAN-DIEGO-MONTGOMER",8074,779,0.039,0.388,16,22jun2012,22sep2013,1693,520,.1543134,58,.4600471,342,261,9042,0.021,0.004,39,24feb2009,24apr2012,1693,276,.1118026,58,-.042309,190,189,"1351","5/2/12","5/23/12",92117,7,"SAN-DIEGO-MONTGOMER_722903",722903,1
"NKP4ZU","CONCORD",58,8821,8533,288.1572,"3","CONCORD",9213,-679,0.051,0.116,17,05dec2011,04apr2013,1871,487,.2582351,58,-.3630923,431,483,9605,0.027,0.237,32,04feb2009,06sep2011,1871,335,.13703,58,-.4188778,240,256,"NKP4ZU","10/1/11","11/21/11",94556,12,"CONCORD_724936",724936,1
"OVYM2X","OAKLAND",58,5204,5406,-202.2798,"4","OAKLAND",6105,-699,0.061,0.147,16,20nov2011,21mar2013,671,365,.6705065,58,-1.041284,329,450,5668,0.040,0.188,32,21jan2009,22aug2011,671,275,.2624152,58,-.69141,209,176,"OVYM2X","8/23/11","10/27/11",94619,3,"OAKLAND_724930",724930,1
"4GY9LD","SAN-JOSE-INTL",58,5231,5704,-472.9263,"5","SAN-JOSE-INTL",5989,-285,0.024,0.165,19,29sep2011,31mar2013,1435,182,.1083385,58,-.1987199,138,155,5535,0.017,0.298,29,29jan2009,01jun2011,1435,116,.0625287,58,-.2116697,87,90,"4GY9LD","6/16/11","9/9/11",94087,4,"SAN-JOSE-INTL_724945",724945,1
"FBDDJ3","NAPA-CO",58,3691,3385,305.7146,"6","NAPA-CO",3546,-161,0.031,0.128,14,29feb2012,01apr2013,952,134,.1274695,58,-.1690801,104,121,3586,0.023,0.037,36,29jan2009,29dec2011,952,110,.0965492,58,.1098826,85,92,"FBDDJ3","1/17/12","2/15/12",94903,2,"NAPA-CO_724955",724955,1
"S812VL","SAN-JOSE-REID",58,10118,8907,1211.384,"8","SAN-JOSE-REID",9269,-362,0.052,0.103,19,11apr2012,11oct2013,1579,662,.1644903,58,-.2293683,466,260,10842,0.025,0.365,35,12jan2009,11jan2012,1579,353,.1052003,58,-.4580452,257,166,"S812VL","1/21/12","3/16/12",95120,4,"SAN-JOSE-REID_724946",724946,1
"8WZD1Z","CONCORD",58,17120,13820,3300.098,"9","CONCORD",13910,-90,0.031,0.002,18,31oct2011,01apr2013,1871,502,.2740183,58,-.0483167,433,513,15383,0.030,0.253,30,01feb2009,04jul2011,1871,690,.3012098,58,.9281559,520,564,"8WZD1Z","8/2/11","10/14/11",94597,12,"CONCORD_724936",724936,1
"9IC5HT","MARYSVILLE-BEALE-AFB",59,16133,14681,1451.986,"1","MARYSVILLE-BEALE-AFB",11936,2745,0.041,0.610,14,16nov2011,16dec2012,2817,773,.2247116,59,.9744385,602,633,11685,0.023,0.816,30,17feb2009,19jul2011,2817,466,.1415071,59,1.578775,364,399,"9IC5HT","8/2/11","10/25/11",95765,11,"MARYSVILLE-BEALE-AFB_724837",724837,1
"SEHDPS1526388264","SANDBERG",59,5444,4560,884.3184,"11b","SANDBERG",3910,649,0.107,0.202,16,10aug2012,12nov2013,1872,687,.1840248,59,.3468247,487,344,4241,0.050,0.373,43,11feb2008,11aug2011,1872,345,.1299497,59,.6423461,270,243,"SEHDPS1526388264","8/24/11","7/27/12",91016,9,"SANDBERG_723830",723830,1
"SEHDPS1526388359","LOS-ANGELES-DOWNTOWN",59,6947,6062,885.6597,"12b","LOS-ANGELES-DOWNTOWN",4991,1071,0.057,0.335,22,29feb2012,26nov2013,1801,552,.1872793,59,.5947555,348,337,4713,0.062,0.375,44,28mar2008,27sep2011,1801,722,.2470634,59,1.240582,433,445,"SEHDPS1526388359","10/10/11","2/28/12",91724,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1
"SGHDPS1526331746","LOS-ANGELES-DOWNTOWN",59,,,,"13","LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SGHDPS1526331746","8/13/12","10/1/12",91107,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1
"SGHDPS1526215611","VAN-NUYS",59,,,,"14","VAN-NUYS",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SGHDPS1526215611","6/11/12","9/20/12",91423,9,"VAN-NUYS_722886",722886,1
"SEHDPS1526388932","LOS-ANGELES-DOWNTOWN",59,7870,7679,190.5356,"15","LOS-ANGELES-DOWNTOWN",5935,1744,0.056,0.391,27,27sep2011,26nov2013,1801,673,.2417703,59,.9686102,430,435,6763,0.074,0.079,42,28mar2008,28jul2011,1801,957,.3314743,59,.6144373,581,597,"SEHDPS1526388932","8/9/11","9/17/11",91790,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1
"SEHDPS1526388512","VAN-NUYS",59,9793,8235,1558.2,"16","VAN-NUYS",6571,1664,0.049,0.484,21,07mar2012,04nov2013,2531,644,.1557335,59,.657344,407,394,9176,0.085,0.009,46,05mar2008,04nov2011,2531,1342,.3843156,59,.2439405,831,973,"SEHDPS1526388512","12/1/11","2/15/12",91321,9,"VAN-NUYS_722886",722886,1
"9264652903","CAMP-PENDLETON",59,3964,3754,210.3206,"17","CAMP-PENDLETON",3635,119,0.071,0.047,15,10jul2012,08sep2013,1218,366,.1215502,59,.0975937,266,148,3756,0.034,0.069,40,09feb2009,09may2012,1218,174,.1017063,59,.170284,135,124,"1386","5/22/12","6/19/12",92128,10,"CAMP-PENDLETON_722926",722926,1
"5708455284","CAMP-PENDLETON",59,7229,6234,995.1479,"18b","CAMP-PENDLETON",3799,2434,0.095,0.786,16,07jun2012,08sep2013,1218,821,.2783603,59,1.998665,592,339,5058,0.056,0.713,15,08feb2011,06apr2012,1218,495,.3134144,59,1.78205,408,382,"5708455284","4/26/12","6/1/12",92040,10,"CAMP-PENDLETON_722926",722926,1
"9069281964","SAN-DIEGO-MONTGOMER",59,4521,4086,434.3594,"19b","SAN-DIEGO-MONTGOMER",3218,868,0.073,0.610,14,06aug2012,05sep2013,1466,426,.136666,59,.5920601,297,200,3398,0.031,0.684,39,05feb2009,05apr2012,1466,195,.0855077,59,.7655457,140,125,"9069281964","4/10/12","7/30/12",92115,7,"SAN-DIEGO-MONTGOMER_722903",722903,1
"E3RCZ8","LIVERMORE",59,4873,5150,-276.1655,"2","LIVERMORE",5527,-377,0.020,0.452,20,13sep2011,11apr2013,1439,136,.0680363,59,-.2619663,102,98,4972,0.028,0.028,17,12feb2010,14jun2011,1439,156,.1035168,59,-.0686366,138,149,"E3RCZ8","6/15/11","9/10/11",94526,12,"LIVERMORE_724927",724927,1
"9608731398","SAN-DIEGO-MONTGOMER",59,8969,8849,119.5342,"20","SAN-DIEGO-MONTGOMER",8122,727,0.038,0.414,16,22jun2012,22sep2013,1466,486,.1577227,59,.4957382,333,231,9007,0.021,0.001,39,24feb2009,24apr2012,1466,265,.1189561,59,-.025941,191,174,"1351","5/2/12","5/23/12",92117,7,"SAN-DIEGO-MONTGOMER_722903",722903,1
"NKP4ZU","CONCORD",59,8817,8533,284.9219,"3","CONCORD",9191,-659,0.051,0.111,17,05dec2011,04apr2013,1679,483,.2868226,59,-.3922044,435,482,9567,0.027,0.228,32,04feb2009,06sep2011,1679,331,.1500531,59,-.4461292,241,252,"NKP4ZU","10/1/11","11/21/11",94556,12,"CONCORD_724936",724936,1
"OVYM2X","OAKLAND",59,5207,5445,-238.7183,"4","OAKLAND",5999,-554,0.065,0.090,16,20nov2011,21mar2013,524,366,.8978837,59,-1.056641,354,470,5583,0.041,0.145,32,21jan2009,22aug2011,524,274,.3184672,59,-.7185919,214,167,"OVYM2X","8/23/11","10/27/11",94619,3,"OAKLAND_724930",724930,1
