account_id,station,basetemp,nac_pre,nac_post,savings,site_number,base_post,nahc_post,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,lthdd_post,sebs_post,sehpdd_post,trefh_post,hpdd_post,senac_post,senahc_post,base_pre,nahc_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,lthdd_pre,sebs_pre,sehpdd_pre,trefh_pre,hpdd_pre,senac_pre,senahc_pre,iou_id,retrofit_start_date,retrofit_end_date,zipcode,ca_climate_zone,station_id,station_number,isvalid,station_name
"E3RCZ8","LIVERMORE",45,,,,"2",228,,,0.609,22,15jul2011,11apr2013,,44,.19312,45,1.078185,,,618,,,0.264,17,12feb2010,14jun2011,,137,.5907059,45,1.368427,,,"E3RCZ8","6/15/11","9/10/11",94526,12,"LIVERMORE_724927",724927,1,"LIVERMORE"
"9608731398","SAN-DIEGO-MONTGOMER",45,,,,"20",315,,,0.535,10,23may2012,22feb2013,,100,132.5074,45,401.9846,,,470,,,0.000,39,24feb2009,24apr2012,,51,0,45,0,,,"1351","5/2/12","5/23/12",92117,7,"SAN-DIEGO-MONTGOMER_722903",722903,1,"SAN-DIEGO-MONTGOMER"
"NKP4ZU","CONCORD",45,,,,"3",579,,,0.472,19,05oct2011,04apr2013,,83,.3182649,45,1.240909,,,700,,,0.439,32,04feb2009,06sep2011,,72,.5405446,45,2.616804,,,"NKP4ZU","10/1/11","11/21/11",94556,12,"CONCORD_724936",724936,1,"CONCORD"
"OVYM2X","OAKLAND",45,,,,"4",469,,,0.220,19,21sep2011,21mar2013,,64,.8632361,45,1.891956,,,592,,,0.336,32,21jan2009,22aug2011,,77,1.360514,45,5.30638,,,"OVYM2X","8/23/11","10/27/11",94619,3,"OAKLAND_724930",724930,1,"OAKLAND"
"4GY9LD","SAN-JOSE-INTL",45,,,,"5",338,,,0.489,22,01jul2011,30mar2013,,66,.9419369,45,4.122215,,,427,,,0.356,29,29jan2009,01jun2011,,52,1.093594,45,4.227324,,,"4GY9LD","6/16/11","9/9/11",94087,4,"SAN-JOSE-INTL_724945",724945,1,"SAN-JOSE-INTL"
"FBDDJ3","NAPA-CO",45,,,,"6",353,,,0.697,15,30jan2012,31mar2013,,79,.2883204,45,1.575664,,,406,,,0.566,36,29jan2009,29dec2011,,64,.2219144,45,1.476661,,,"FBDDJ3","1/17/12","2/15/12",94903,2,"NAPA-CO_724955",724955,1,"NAPA-CO"
"S812VL","SAN-JOSE-REID",45,,,,"8",560,,,0.273,14,12feb2012,13mar2013,,136,16.05709,45,34.05729,,,687,,,0.127,37,12jan2009,11jan2012,,112,9.531534,45,21.49806,,,"S812VL","1/21/12","3/16/12",95120,4,"SAN-JOSE-REID_724946",724946,1,"SAN-JOSE-REID"
"8WZD1Z","CONCORD",45,,,,"9",406,,,0.511,21,02aug2011,01apr2013,,71,.2726949,45,1.214652,,,593,,,0.428,30,01feb2009,04jul2011,,89,.5641667,45,2.581961,,,"8WZD1Z","8/2/11","10/14/11",94597,12,"CONCORD_724936",724936,1,"CONCORD"
"9IC5HT","MARYSVILLE-BEALE-AFB",46,,,,"1",685,,,0.633,21,17aug2011,17apr2013,,86,.1777387,46,1.017079,,,684,,,0.645,30,17feb2009,19jul2011,,75,.2338524,46,1.666491,,,"9IC5HT","8/2/11","10/25/11",95765,11,"MARYSVILLE-BEALE-AFB_724837",724837,1,"MARYSVILLE-BEALE-AFB"
"SEHDPS1526388264","SANDBERG",46,,,,"11b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEHDPS1526388264","8/24/11","7/27/12",91016,9,"SANDBERG_723830",723830,1,"SANDBERG"
"SEHDPS1526388359","LOS-ANGELES-DOWNTOWN",46,,,,"12b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEHDPS1526388359","10/10/11","2/28/12",91724,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
