account_id,station_name,nac_pre,nac_post,savings,site_number,station,base_post,nacc,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,ltcdd_post,sebs_post,secpdd_post,trefc_post,cpdd_post,senac_post,senacc_post,base_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,ltcdd_pre,sebs_pre,secpdd_pre,trefc_pre,cpdd_pre,senac_pre,senacc_pre,iou,iou_id,ca_climate_zone,zipcode,wthrfile,weather_station,retrofit_end_date,complete_date,station_id,station_number,isvalid
"9044432205","IMPERIAL-BEACH",6688,5542,1145.804,,"IMPERIAL-BEACH",5548,-6,0.016,0.036,9,06jul2012,07mar2013,227,95,.0524167,65,-.0269807,87,12,6919,0.024,0.091,41,05feb2009,06jun2012,227,184,.5171841,65,-1.019464,160,117,"SDGE","1422",7,91910,"IMPERIAL-BEACH",722909,"6/20/2012","","IMPERIAL-BEACH_722909",722909,1
"9069281964","SAN-DIEGO-MONTGOMER",4481,4041,439.3667,,"SAN-DIEGO-MONTGOMER",3521,520,0.050,0.831,12,05apr2012,07mar2013,476,231,.1556083,65,1.0926,202,74,3788,0.020,0.872,38,05feb2009,07mar2012,476,106,.0929098,65,1.455518,92,44,"SDGE","1212",7,92115,"SAN-DIEGO-MONTGOMER",722903,"3/23/2012","","SAN-DIEGO-MONTGOMER_722903",722903,1
"9122599829","SAN-DIEGO-LINDBERGH",6900,6833,67.32227,,"SAN-DIEGO-LINDBERGH",5985,848,0.020,0.945,19,09sep2011,11mar2013,370,152,.1345414,65,2.292582,134,50,5519,0.034,0.808,31,09feb2009,10aug2011,370,278,.3382763,65,3.734068,231,125,"SDGE","114",7,92104,"SAN-DIEGO-LINDBERGH",722900,"9/1/2011","","SAN-DIEGO-LINDBERGH_722900",722900,1
"9264652903","CAMP-PENDLETON",3964,3816,148.249,,"CAMP-PENDLETON",3663,154,0.063,0.353,10,08jun2012,11mar2013,340,278,.2163174,65,.4519544,242,74,3698,0.030,0.288,40,09feb2009,09may2012,340,133,.2000506,65,.7850417,117,68,"SDGE","1386",10,92128,"CAMP-PENDLETON",722926,"5/21/2012","","CAMP-PENDLETON_722926",722926,1
"9410961277","CAMP-PENDLETON",6213,6633,-419.7319,,"CAMP-PENDLETON",6572,61,0.038,0.049,12,18apr2012,19mar2013,340,286,.2494796,65,.1788081,251,85,6206,0.024,0.000,38,18feb2009,19mar2012,340,173,.2638254,65,.021988,151,90,"SDGE","1275",10,92020,"CAMP-PENDLETON",722926,"4/4/2012","","CAMP-PENDLETON_722926",722926,1
"9608731398","SAN-DIEGO-MONTGOMER",8956,8637,319.3574,,"SAN-DIEGO-MONTGOMER",8324,313,0.032,0.549,10,23may2012,22feb2013,476,329,.210812,65,.6576362,279,100,8890,0.021,0.013,39,24feb2009,24apr2012,476,219,.2005901,65,.1397339,190,95,"SDGE","1351",7,92117,"SAN-DIEGO-MONTGOMER",722903,"4/26/2012","","SAN-DIEGO-MONTGOMER_722903",722903,1
"SEHDPS1526388114","LOS-ANGELES-DOWNTOWN",4592,6407,-1814.504,,"LOS-ANGELES-DOWNTOWN",6117,290,0.026,0.223,30,06jun2011,04nov2013,640,215,.1599085,65,.4529279,167,102,5660,0.211,0.085,21,03sep2009,05may2011,640,1502,1.256869,65,-1.668412,969,804,"SCE","SEHDPS1526388114",9,91016,"",,"5/24/2011","5/24/2011","LOS-ANGELES-DOWNTOWN_722874",722874,1
"SEHDPS1526388155","RIVERSIDE",7412,7619,-206.3232,,"RIVERSIDE",5814,1805,0.073,0.450,28,17aug2011,18nov2013,1407,749,.2778672,65,1.282601,559,391,5648,0.060,0.361,42,18mar2008,19jul2011,1407,598,.2639318,65,1.253846,441,371,"SCE","SEHDPS1526388155",10,92407,"",,"8/10/2011","8/10/2011","RIVERSIDE_722869",722869,1
"SEHDPS1526388160","LOS-ANGELES-DOWNTOWN",6787,7549,-761.9346,,"LOS-ANGELES-DOWNTOWN",7414,135,0.043,0.023,23,03jan2012,30oct2013,640,411,.2970751,65,.2109678,325,190,7669,0.104,0.081,33,31jan2008,02dec2011,640,1026,.8360221,65,-1.379465,705,535,"SCE","SEHDPS1526388160",9,91711,"",,"12/7/2011","12/7/2011","LOS-ANGELES-DOWNTOWN_722874",722874,1
"SEHDPS1526388163","LOS-ANGELES-DOWNTOWN",4614,5528,-913.8667,,"LOS-ANGELES-DOWNTOWN",6000,-472,0.056,0.248,23,03jan2012,30oct2013,640,388,.280111,65,-.7380837,307,179,4690,0.115,0.001,35,31jan2008,02dec2011,640,766,.615687,65,-.1178314,533,394,"SCE","SEHDPS1526388163",9,91711,"",,"12/14/2011","12/14/11","LOS-ANGELES-DOWNTOWN_722874",722874,1
