account_id,station,basetemp,nac_pre,nac_post,savings,site_number,base_post,nahc_post,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,lthdd_post,sebs_post,sehpdd_post,trefh_post,hpdd_post,senac_post,senahc_post,base_pre,nahc_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,lthdd_pre,sebs_pre,sehpdd_pre,trefh_pre,hpdd_pre,senac_pre,senahc_pre,iou_id,retrofit_start_date,retrofit_end_date,zipcode,ca_climate_zone,station_id,station_number,isvalid,station_name
9IC5HT,MARYSVILLE-BEALE-AFB,45,,,,1,706,,,0.598,21,17-Aug-11,17-Apr-13,,89,0.228208,45,1.213641,,,715,,,0.578,30,17-Feb-09,19-Jul-11,,80,0.3126564,45,1.934703,,,9IC5HT,8/2/11,10/25/11,95765,11,MARYSVILLE-BEALE-AFB_724837,724837,1,MARYSVILLE-BEALE-AFB
SEHDPS1526388264,SANDBERG,45,,,,11b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEHDPS1526388264,8/24/11,7/27/12,91016,9,SANDBERG_723830,723830,1,SANDBERG
SEHDPS1526388359,LOS-ANGELES-DOWNTOWN,45,,,,12b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEHDPS1526388359,10/10/11,2/28/12,91724,9,LOS-ANGELES-DOWNTOWN_722874,722874,1,LOS-ANGELES-DOWNTOWN
SGHDPS1526331746,LOS-ANGELES-DOWNTOWN,45,,,,13,289,,,0,5,27-Aug-12,27-Dec-12,,139,0,45,0,,,474,,,0.024,30,2-Mar-10,27-Jul-12,,73,106.8202,45,-88.73897,,,SGHDPS1526331746,8/13/12,10/1/12,91107,9,LOS-ANGELES-DOWNTOWN_722874,722874,1,LOS-ANGELES-DOWNTOWN
SGHDPS1526215611,VAN-NUYS,45,,,,14,214,,,0.671,19,25-Jun-12,23-Dec-13,,58,1.964231,45,11.56927,,,638,,,0.038,28,26-Feb-10,24-May-12,,114,24.04778,45,24.37955,,,SGHDPS1526215611,6/11/12,9/20/12,91423,9,VAN-NUYS_722886,722886,1,VAN-NUYS
SEHDPS1526388932,LOS-ANGELES-DOWNTOWN,45,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEHDPS1526388932,8/9/11,9/17/11,91790,9,LOS-ANGELES-DOWNTOWN_722874,722874,1,LOS-ANGELES-DOWNTOWN
SEHDPS1526388512,VAN-NUYS,45,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEHDPS1526388512,12/1/11,2/15/12,91321,9,VAN-NUYS_722886,722886,1,VAN-NUYS
9264652903,CAMP-PENDLETON,45,,,,17,511,,,0.248,10,8-Jun-12,11-Mar-13,,189,3.46539,45,5.626726,,,622,,,0.284,40,9-Feb-09,9-May-12,,79,4.485798,45,17.42004,,,1386,5/22/12,6/19/12,92128,10,CAMP-PENDLETON_722926,722926,1,CAMP-PENDLETON
5708455284,CAMP-PENDLETON,45,,,,18b,403,,,0.285,11,8-May-12,8-Mar-13,,99,1.899352,45,3.593071,,,587,,,0.191,15,8-Feb-11,6-Apr-12,,96,4.61891,45,8.095264,,,5708455284,4/26/12,6/1/12,92040,10,CAMP-PENDLETON_722926,722926,1,CAMP-PENDLETON
9069281964,SAN-DIEGO-MONTGOMER,45,,,,19b,336,,,0.224,11,7-May-12,7-Mar-13,,86,112.3954,45,181.3131,,,497,,,0,39,5-Feb-09,5-Apr-12,,54,0,45,0,,,9069281964,4/10/12,7/30/12,92115,7,SAN-DIEGO-MONTGOMER_722903,722903,1,SAN-DIEGO-MONTGOMER
E3RCZ8,LIVERMORE,45,,,,2,228,,,0.609,22,15-Jul-11,11-Apr-13,,44,0.19312,45,1.078185,,,618,,,0.264,17,12-Feb-10,14-Jun-11,,137,0.5907059,45,1.368427,,,E3RCZ8,6/15/11,9/10/11,94526,12,LIVERMORE_724927,724927,1,LIVERMORE
9608731398,SAN-DIEGO-MONTGOMER,45,,,,20,315,,,0.535,10,23-May-12,22-Feb-13,,100,132.5074,45,401.9846,,,470,,,0,39,24-Feb-09,24-Apr-12,,51,0,45,0,,,1351,5/2/12,5/23/12,92117,7,SAN-DIEGO-MONTGOMER_722903,722903,1,SAN-DIEGO-MONTGOMER
NKP4ZU,CONCORD,45,,,,3,579,,,0.472,19,5-Oct-11,4-Apr-13,,83,0.3182649,45,1.240909,,,700,,,0.439,32,4-Feb-09,6-Sep-11,,72,0.5405446,45,2.616804,,,NKP4ZU,10/1/11,11/21/11,94556,12,CONCORD_724936,724936,1,CONCORD
OVYM2X,OAKLAND,45,,,,4,469,,,0.22,19,21-Sep-11,21-Mar-13,,64,0.8632361,45,1.891956,,,592,,,0.336,32,21-Jan-09,22-Aug-11,,77,1.360514,45,5.30638,,,OVYM2X,8/23/11,10/27/11,94619,3,OAKLAND_724930,724930,1,OAKLAND
4GY9LD,SAN-JOSE-INTL,45,,,,5,338,,,0.489,22,1-Jul-11,30-Mar-13,,66,0.9419369,45,4.122215,,,427,,,0.356,29,29-Jan-09,1-Jun-11,,52,1.093594,45,4.227324,,,4GY9LD,6/16/11,9/9/11,94087,4,SAN-JOSE-INTL_724945,724945,1,SAN-JOSE-INTL
FBDDJ3,NAPA-CO,45,,,,6,353,,,0.697,15,30-Jan-12,31-Mar-13,,79,0.2883204,45,1.575664,,,406,,,0.566,36,29-Jan-09,29-Dec-11,,64,0.2219144,45,1.476661,,,FBDDJ3,1/17/12,2/15/12,94903,2,NAPA-CO_724955,724955,1,NAPA-CO
S812VL,SAN-JOSE-REID,45,,,,8,560,,,0.273,14,12-Feb-12,13-Mar-13,,136,16.05709,45,34.05729,,,687,,,0.127,37,12-Jan-09,11-Jan-12,,112,9.531534,45,21.49806,,,S812VL,1/21/12,3/16/12,95120,4,SAN-JOSE-REID_724946,724946,1,SAN-JOSE-REID
8WZD1Z,CONCORD,45,,,,9,406,,,0.511,21,2-Aug-11,1-Apr-13,,71,0.2726949,45,1.214652,,,593,,,0.428,30,1-Feb-09,4-Jul-11,,89,0.5641667,45,2.581961,,,8WZD1Z,8/2/11,10/14/11,94597,12,CONCORD_724936,724936,1,CONCORD
9IC5HT,MARYSVILLE-BEALE-AFB,46,,,,1,685,,,0.633,21,17-Aug-11,17-Apr-13,,86,0.1777387,46,1.017079,,,684,,,0.645,30,17-Feb-09,19-Jul-11,,75,0.2338524,46,1.666491,,,9IC5HT,8/2/11,10/25/11,95765,11,MARYSVILLE-BEALE-AFB_724837,724837,1,MARYSVILLE-BEALE-AFB
SEHDPS1526388264,SANDBERG,46,,,,11b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEHDPS1526388264,8/24/11,7/27/12,91016,9,SANDBERG_723830,723830,1,SANDBERG
SEHDPS1526388359,LOS-ANGELES-DOWNTOWN,46,,,,12b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEHDPS1526388359,10/10/11,2/28/12,91724,9,LOS-ANGELES-DOWNTOWN_722874,722874,1,LOS-ANGELES-DOWNTOWN
SGHDPS1526331746,LOS-ANGELES-DOWNTOWN,46,,,,13,289,,,0,5,27-Aug-12,27-Dec-12,,139,0,46,0,,,474,,,0.024,30,2-Mar-10,27-Jul-12,,73,24.65077,46,-20.47818,,,SGHDPS1526331746,8/13/12,10/1/12,91107,9,LOS-ANGELES-DOWNTOWN_722874,722874,1,LOS-ANGELES-DOWNTOWN
