account_id,station,nac_pre,nac_post,savings,site_number,base_post,nahc_post,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,lthdd_post,sebs_post,sehpdd_post,trefh_post,hpdd_post,senac_post,senahc_post,base_pre,nahc_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,lthdd_pre,sebs_pre,sehpdd_pre,trefh_pre,hpdd_pre,senac_pre,senahc_pre,iou,iou_id,ca_climate_zone,zipcode,wthrfile,weather_station,retrofit_end_date,complete_date,station_id,station_number,isvalid,station_name,_merge
"8942098159","IMPERIAL-BEACH",343,281,62.32608,,176,105,0.100,0.790,8,01aug2012,03mar2013,782,37,.0281455,60,.1336661,28,22,268,76,0.035,0.536,42,02feb2009,02jul2012,782,16,.0142551,60,.0968237,12,11,"SDGE","1445",7,91910,"IMPERIAL-BEACH",722909,"7/13/2012","","IMPERIAL-BEACH_722909",722909,1,"IMPERIAL-BEACH","matched (3)"
"9044432205","IMPERIAL-BEACH",355,360,-5.305542,,139,221,0.036,0.986,9,06jul2012,07mar2013,782,16,.012518,60,.282739,13,10,181,174,0.062,0.650,41,05feb2009,06jun2012,782,29,.0261275,60,.2225271,22,20,"SDGE","1422",7,91910,"IMPERIAL-BEACH",722909,"6/20/2012","","IMPERIAL-BEACH_722909",722909,1,"IMPERIAL-BEACH","matched (3)"
"9069281964","SAN-DIEGO-MONTGOMER",501,394,107.2578,,186,208,0.035,0.975,12,05apr2012,07mar2013,709,18,.0148896,60,.2935722,14,11,190,311,0.023,0.958,38,05feb2009,07mar2012,709,16,.0152909,60,.439195,11,11,"SDGE","1212",7,92115,"SAN-DIEGO-MONTGOMER",722903,"3/23/2012","","SAN-DIEGO-MONTGOMER_722903",722903,1,"SAN-DIEGO-MONTGOMER","matched (3)"
"9122599829","SAN-DIEGO-LINDBERGH",526,593,-66.77325,,350,243,0.046,0.926,19,09sep2011,11mar2013,401,35,.0413712,60,.6056117,27,17,263,263,0.032,0.895,31,09feb2009,10aug2011,401,21,.0417411,60,.6570081,17,17,"SDGE","114",7,92104,"SAN-DIEGO-LINDBERGH",722900,"9/1/2011","","SAN-DIEGO-LINDBERGH_722900",722900,1,"SAN-DIEGO-LINDBERGH","matched (3)"
"9264652903","CAMP-PENDLETON",718,678,40.08551,,200,479,0.084,0.924,10,08jun2012,11mar2013,1194,70,.0405865,60,.4010624,57,48,220,498,0.032,0.931,40,09feb2009,09may2012,1194,32,.0184469,60,.4174951,23,22,"SDGE","1386",10,92128,"CAMP-PENDLETON",722926,"5/21/2012","","CAMP-PENDLETON_722926",722926,1,"CAMP-PENDLETON","matched (3)"
"9410961277","CAMP-PENDLETON",401,453,-52.31677,,169,285,0.035,0.978,12,18apr2012,19mar2013,1194,20,.0113193,60,.2384319,16,14,74,327,0.055,0.877,38,18feb2009,19mar2012,1194,31,.0171055,60,.2736712,22,20,"SDGE","1275",10,92020,"CAMP-PENDLETON",722926,"4/4/2012","","CAMP-PENDLETON_722926",722926,1,"CAMP-PENDLETON","matched (3)"
"9608731398","SAN-DIEGO-MONTGOMER",467,440,27.30789,,170,270,0.059,0.965,10,23may2012,22feb2013,709,31,.0255904,60,.3812076,26,18,185,282,0.032,0.913,39,24feb2009,24apr2012,709,21,.0201385,60,.3980713,15,14,"SDGE","1351",7,92117,"SAN-DIEGO-MONTGOMER",722903,"4/26/2012","","SAN-DIEGO-MONTGOMER_722903",722903,1,"SAN-DIEGO-MONTGOMER","matched (3)"
"SGHDPS1525783456","LOS-ANGELES-DOWNTOWN",632,527,104.9815,,203,324,0.063,0.880,23,08feb2012,06dec2013,526,40,.0498105,60,.6168079,33,26,327,305,0.064,0.788,24,09feb2010,09jan2012,526,51,.0641,60,.5795687,40,34,"SCG","SGHDPS1525783456",9,91107,"",,"1/31/2012","","LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN","matched (3)"
"SGHDPS1525798860","VAN-NUYS",337,245,92.11121,,81,163,0.143,0.649,11,24feb2012,20dec2012,795,41,.0503504,60,.2053378,35,40,118,219,0.064,0.863,24,25feb2010,25jan2012,795,29,.0234008,60,.2752901,21,19,"SCG","SGHDPS1525798860",9,91411,"",,"2/22/2012","","VAN-NUYS_722886",722886,1,"VAN-NUYS","matched (3)"
"SGHDPS1525812520","VAN-NUYS",,275,,,155,119,0.116,0.526,22,09mar2012,19dec2013,795,38,.0317956,60,.1498062,32,25,,,,,1,08feb2012,08feb2012,795,,,,,,,"SCG","SGHDPS1525812520",9,91406,"",,"3/2/2012","","VAN-NUYS_722886",722886,1,"VAN-NUYS","matched (3)"
"SGHDPS1525812598","LOS-ANGELES-DOWNTOWN",591,375,215.8044,,261,114,0.084,0.509,21,05apr2012,04dec2013,526,35,.0488393,60,.2168763,31,26,388,203,0.087,0.505,25,05feb2010,07mar2012,526,68,.0797105,60,.3860529,51,42,"SCG","SGHDPS1525812598",9,91107,"",,"3/10/2012","","LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN","matched (3)"
"SGHDPS1525975566","VAN-NUYS",340,192,147.0836,,108,85,0.097,0.640,20,23apr2012,19dec2013,795,21,.0188548,60,.1066051,19,15,137,203,0.065,0.828,25,24feb2010,23mar2012,795,31,.0241917,60,.2549268,22,19,"SCG","SGHDPS1525975566",9,91307,"",,"4/9/2012","","VAN-NUYS_722886",722886,1,"VAN-NUYS","matched (3)"
"SGHDPS1525985775","HAWTHORNE-NORTHROP-FLD",422,248,173.4753,,169,79,0.073,0.655,19,07jun2012,06dec2013,465,20,.0298678,60,.1698573,18,14,288,134,0.038,0.798,28,09feb2010,08may2012,465,22,.0283309,60,.2873613,16,13,"SCG","SGHDPS1525985775",8,90045,"",,"5/21/2012","","HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD","matched (3)"
"SGHDPS1526086884","VAN-NUYS",358,-33,391.2526,,89,-123,-2.730,0.229,16,07jun2012,06dec2012,795,30,.1263662,60,-.1542029,91,100,-47,405,0.917,0.307,7,08feb2012,08may2012,795,705,.5405805,60,.5091869,328,430,"SCG","SGHDPS1526086884",9,91423,"",,"5/16/2012","","VAN-NUYS_722886",722886,1,"VAN-NUYS","matched (3)"
"SGHDPS1526142993","VAN-NUYS",448,339,109.0364,,206,133,0.095,0.661,19,13jun2012,11dec2013,795,35,.0290619,60,.1671554,32,23,261,186,0.081,0.589,28,16feb2010,14may2012,795,50,.0383428,60,.2342709,36,30,"SCG","SGHDPS1526142993",9,91344,"",,"6/4/2012","","VAN-NUYS_722886",722886,1,"VAN-NUYS","matched (3)"
"SGHDPS1526228089","SANTA-MARIA",346,329,16.66577,,174,155,0.103,0.509,15,01oct2012,02dec2013,1813,44,.0232853,60,.0854359,34,42,190,155,0.026,0.813,32,03feb2010,30aug2012,1813,16,.0075052,60,.0857399,9,14,"SCG","SGHDPS1526228089",5,93455,"",,"9/19/2012","","SANTA-MARIA_723940",723940,1,"SANTA-MARIA","matched (3)"
"SGHDPS1526317934","SANTA-MONICA",114,280,-166.3714,,176,104,0.097,0.649,17,14aug2012,12dec2013,567,32,.0349156,60,.1838387,27,20,101,13,0.215,0.032,18,15feb2011,16jul2012,567,34,.0326556,60,.0237127,25,19,"SCG","SGHDPS1526317934",6,90066,"",,"7/17/2012","","SANTA-MONICA_722885",722885,1,"SANTA-MONICA","matched (3)"
"SEHDPS1526388114","LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388114",9,91016,"",,"5/24/2011","5/24/2011","LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN","using only (2)"
"SEHDPS1526388155","RIVERSIDE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388155",10,92407,"",,"8/10/2011","8/10/2011","RIVERSIDE_722869",722869,1,"RIVERSIDE","using only (2)"
"SEHDPS1526388160","LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388160",9,91711,"",,"12/7/2011","12/7/2011","LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN","using only (2)"
