account_id,station_name,basetemp,nac_pre,nac_post,savings,site_number,station,base_post,nacc,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,ltcdd_post,sebs_post,secpdd_post,trefc_post,cpdd_post,senac_post,senacc_post,base_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,ltcdd_pre,sebs_pre,secpdd_pre,trefc_pre,cpdd_pre,senac_pre,senacc_pre,iou_id,retrofit_start_date,retrofit_end_date,zipcode,ca_climate_zone,station_id,station_number,isvalid
"5708455284","CAMP-PENDLETON",74,6555,7207,-651.2314,"18b","CAMP-PENDLETON",7047,159,0.189,0.260,10,07jun2012,08mar2013,8,1399,11.88319,74,19.91162,1361,95,6154,0.084,0.457,15,08feb2011,06apr2012,8,575,15.18207,74,50.21047,551,121,"5708455284","4/26/12","6/1/12",92040,10,"CAMP-PENDLETON_722926",722926,1
"9069281964","SAN-DIEGO-MONTGOMER",74,4262,4061,201.2915,"19b","SAN-DIEGO-MONTGOMER",3920,141,0.043,0.946,8,06aug2012,07mar2013,22,181,.6255196,74,6.38975,174,14,4146,0.033,0.696,39,05feb2009,05apr2012,22,146,.5715864,74,5.265474,142,13,"9069281964","4/10/12","7/30/12",92115,7,"SAN-DIEGO-MONTGOMER_722903",722903,1
"E3RCZ8","LIVERMORE",74,4889,5121,-232.3193,"2","LIVERMORE",5339,-218,0.025,0.199,20,13sep2011,11apr2013,101,144,1.020446,74,-2.160415,126,103,4936,0.029,0.010,17,12feb2010,14jun2011,101,142,1.214046,74,-.461739,140,123,"E3RCZ8","6/15/11","9/10/11",94526,12,"LIVERMORE_724927",724927,1
"9608731398","SAN-DIEGO-MONTGOMER",74,8876,8653,223.5713,"20","SAN-DIEGO-MONTGOMER",8562,91,0.030,0.654,9,22jun2012,22feb2013,22,276,1.141142,74,4.147573,264,25,8846,0.021,0.080,39,24feb2009,24apr2012,22,195,.7706513,74,1.379499,190,17,"1351","5/2/12","5/23/12",92117,7,"SAN-DIEGO-MONTGOMER_722903",722903,1
"NKP4ZU","CONCORD",74,8839,7724,1115.417,"3","CONCORD",9086,-1362,0.104,0.133,17,05dec2011,04apr2013,108,428,8.304689,74,-12.60734,806,897,9096,0.030,0.061,32,04feb2009,06sep2011,108,303,1.697942,74,-2.378114,267,183,"NKP4ZU","10/1/11","11/21/11",94556,12,"CONCORD_724936",724936,1
"OVYM2X","OAKLAND",74,5201,5712,-511.2612,"4","OAKLAND",5712,0,0.048,0.000,16,20nov2011,21mar2013,0,276,0,74,0,276,0,5201,0.046,0.000,32,21jan2009,22aug2011,0,241,11.06143,74,-.4062609,241,0,"OVYM2X","8/23/11","10/27/11",94619,3,"OAKLAND_724930",724930,1
"4GY9LD","SAN-JOSE-INTL",74,5295,5497,-202.6392,"5","SAN-JOSE-INTL",5862,-364,0.037,0.154,19,29sep2011,31mar2013,33,146,6.277331,74,-11.04012,203,207,5413,0.017,0.206,29,29jan2009,01jun2011,33,106,1.35665,74,-3.595188,92,45,"4GY9LD","6/16/11","9/9/11",94087,4,"SAN-JOSE-INTL_724945",724945,1
"FBDDJ3","NAPA-CO",74,3672,3446,226.49,"6","NAPA-CO",3419,26,0.031,0.025,14,29feb2012,31mar2013,6,110,7.919462,74,4.357217,108,48,3646,0.023,0.017,36,29jan2009,29dec2011,6,89,5.676219,74,4.351743,83,34,"FBDDJ3","1/17/12","2/15/12",94903,2,"NAPA-CO_724955",724955,1
"S812VL","SAN-JOSE-REID",74,10172,9144,1028.384,"8","SAN-JOSE-REID",9339,-195,0.053,0.406,12,11apr2012,13mar2013,39,530,1.913049,74,-4.996959,484,75,10262,0.031,0.190,35,12jan2009,11jan2012,39,335,.8303705,74,-2.308971,317,32,"S812VL","1/21/12","3/16/12",95120,4,"SAN-JOSE-REID_724946",724946,1
"8WZD1Z","CONCORD",74,17001,14290,2710.407,"9","CONCORD",13754,536,0.062,0.019,18,31oct2011,01apr2013,108,425,9.034721,74,4.964571,882,976,16135,0.033,0.125,30,01feb2009,04jul2011,108,648,4.002367,74,8.017694,560,432,"8WZD1Z","8/2/11","10/14/11",94597,12,"CONCORD_724936",724936,1
